episode,global_step,outcome,ep_steps,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss
269,6226,loss,17,-64.00,0,7,0.8817,0,2.161705
270,6239,loss,13,-63.00,0,7,0.8815,0,2.380963
271,6254,loss,15,-63.50,0,7,0.8812,0,2.535504
272,6267,loss,13,-63.00,0,7,0.8809,0,2.531103
273,6294,loss,27,-69.00,0,7,0.8804,0,2.282048
274,6307,loss,13,-64.50,0,8,0.8802,0,2.083765
275,6332,loss,25,-69.50,0,8,0.8797,0,2.246763
276,6357,loss,25,-73.00,0,8,0.8792,0,2.240119
277,6374,loss,17,-65.00,0,7,0.8789,0,2.117051
278,6390,loss,16,-64.50,0,7,0.8786,0,2.059741
279,6408,loss,18,-67.00,0,7,0.8782,0,2.250328
280,6437,loss,29,-74.00,0,8,0.8777,0,2.144469
281,6458,loss,21,-66.50,0,7,0.8773,0,1.937588
282,6477,loss,19,-64.50,0,7,0.8769,0,2.272958
283,6509,loss,32,-74.00,0,8,0.8763,0,2.270152
284,6525,loss,16,-62.50,0,7,0.8760,0,2.270570
285,6550,loss,25,-70.50,0,8,0.8756,0,1.992041
286,6568,loss,18,-68.50,0,8,0.8752,0,2.187547
287,6589,loss,21,-69.50,0,8,0.8748,0,2.136598
288,6618,loss,29,-72.00,0,8,0.8743,0,1.976893
289,6637,loss,19,-67.00,0,8,0.8739,0,2.240857
290,6663,loss,26,-73.00,0,8,0.8734,0,2.002422
291,6688,loss,25,-69.00,0,7,0.8729,0,2.034725
292,6711,loss,23,-71.00,0,8,0.8725,0,2.030547
293,6729,loss,18,-69.00,0,7,0.8721,0,2.039787
294,6746,loss,17,-66.50,0,7,0.8718,0,2.503480
295,6768,loss,22,-66.50,0,7,0.8714,0,1.871854
296,6800,loss,32,-71.50,0,8,0.8708,0,2.308703
297,6816,loss,16,-66.00,0,7,0.8705,0,1.865315
298,6837,loss,21,-70.00,0,8,0.8701,0,2.222438
299,6857,loss,20,-69.50,0,8,0.8697,0,2.289196
300,6876,loss,19,-64.50,0,7,0.8694,0,2.075057
301,6895,loss,19,-66.00,0,8,0.8690,0,2.097477
302,6908,loss,13,-64.50,0,7,0.8687,0,2.171052
303,6933,loss,25,-70.50,0,8,0.8683,0,2.114008
304,6954,loss,21,-66.00,0,7,0.8679,0,1.922407
305,6983,loss,29,-73.50,0,8,0.8673,0,2.032399
306,7012,loss,29,-72.50,0,8,0.8668,0,1.924130
307,7032,loss,20,-68.00,0,7,0.8664,0,2.307110
308,7049,loss,17,-65.00,0,7,0.8661,0,1.768616
309,7064,loss,15,-65.50,0,7,0.8658,0,1.868192
310,7081,loss,17,-69.00,0,8,0.8655,0,2.275398
311,7099,loss,18,-65.00,0,7,0.8651,0,1.903848
312,7118,loss,19,-68.50,0,7,0.8648,0,1.855405
313,7137,loss,19,-66.00,0,7,0.8644,0,1.959000
314,7172,loss,35,-73.50,0,8,0.8637,0,2.119034
315,7199,loss,27,-70.50,0,8,0.8632,0,1.777303
316,7222,loss,23,-70.50,0,8,0.8628,0,1.905435
317,7241,loss,19,-67.50,0,8,0.8624,0,2.006086
318,7257,loss,16,-68.50,0,8,0.8621,0,2.400609
319,7276,loss,19,-67.50,0,8,0.8618,0,2.033076
320,7302,loss,26,-73.00,0,7,0.8613,0,1.971920
321,7329,loss,27,-72.50,0,8,0.8607,0,2.367274
322,7346,loss,17,-65.50,0,8,0.8604,0,2.082925
323,7369,loss,23,-70.50,0,8,0.8600,0,2.099148
324,7394,loss,25,-68.50,0,7,0.8595,0,1.743963
325,7412,loss,18,-67.50,0,8,0.8592,0,2.376594
326,7442,loss,30,-74.00,0,8,0.8586,0,1.975673
327,7465,loss,23,-69.00,0,8,0.8582,0,1.984068
328,7489,loss,24,-70.00,0,7,0.8577,0,1.670503
329,7506,loss,17,-65.00,0,7,0.8574,0,2.069798
330,7540,loss,34,-71.00,0,7,0.8567,0,2.153433
331,7561,loss,21,-67.50,0,8,0.8563,0,2.085621
332,7582,loss,21,-70.00,0,8,0.8559,0,2.203924
333,7603,loss,21,-68.50,0,8,0.8555,0,1.800381
334,7631,loss,28,-70.00,0,8,0.8550,0,2.027047
335,7662,loss,31,-72.50,0,8,0.8544,0,2.181457
336,7688,loss,26,-74.00,0,8,0.8539,0,1.917064
337,7709,loss,21,-65.50,0,7,0.8535,0,1.807730
338,7737,loss,28,-71.50,0,8,0.8530,0,2.171357
339,7756,loss,19,-68.50,0,7,0.8526,0,2.166872
340,7775,loss,19,-67.00,0,8,0.8523,0,2.287401
341,7791,loss,16,-66.00,0,8,0.8520,0,1.757760
342,7804,loss,13,-62.50,0,7,0.8517,0,2.147915
343,7829,loss,25,-70.00,0,7,0.8512,0,1.989786
344,7852,loss,23,-69.50,0,7,0.8508,0,1.731928
345,7884,loss,32,-73.00,0,8,0.8502,0,2.095205
346,7901,loss,17,-66.50,0,8,0.8499,0,2.000024
347,7924,loss,23,-72.00,0,8,0.8494,0,1.828743
348,7952,loss,28,-71.50,0,8,0.8489,0,1.883015
349,7969,loss,17,-65.50,0,8,0.8486,0,2.289458
350,7996,loss,27,-71.50,0,8,0.8481,0,2.123011
351,8022,loss,26,-71.00,0,8,0.8476,0,1.942774
352,8039,loss,17,-65.00,0,7,0.8473,0,1.994589
353,8052,loss,13,-64.50,0,7,0.8470,0,2.086069
354,8071,loss,19,-67.50,0,8,0.8467,0,2.110594
355,8090,loss,19,-66.50,0,8,0.8463,0,2.019856
356,8115,loss,25,-70.50,0,8,0.8458,0,2.135009
357,8146,loss,31,-73.50,0,8,0.8452,0,1.820165
358,8161,loss,15,-65.50,0,8,0.8449,0,1.989017
359,8180,loss,19,-70.00,0,8,0.8446,0,2.095246
360,8212,loss,32,-72.00,0,8,0.8440,0,1.807818
361,8229,loss,17,-68.00,0,8,0.8436,0,1.775019
362,8246,loss,17,-66.50,0,7,0.8433,0,2.084902
