# run_timestamp,20260509_074328
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,60
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
89,26398,timeout,300,60,-43.67,5,7,0.0500,0,0.140344,86,64,180,60,60,0,53,3,57,"NA:N,SA:N",0E1|1A20|2A15|3E6|4A11|5A20|6E18|7A20|8E20|9E6|10E7|11N1|12E6
90,26656,timeout,258,60,-47.98,3,5,0.0500,0,0.138316,57,51,138,60,60,0,55,2,57,"NA:N,SA:N",0A20|1A20|2N1|3A17|4N1|5N1|6E19|7N1|8E8|9E8|10E8|11N1|12E8
91,26956,timeout,300,60,-44.27,5,7,0.0500,0,0.136784,80,85,180,60,60,1,51,5,58,"NA:N,SA:N",0A2|1A18|2A20|3E5|4E20|5A20|6E17|7A20|8E20|9E10|10E6|11N1|12E7
92,27256,timeout,300,60,-40.17,6,6,0.0500,0,0.151360,103,68,180,60,60,3,48,6,53,"NA:N,SA:N",0A3|1A20|2A20|3E17|4A20|5A20|6E18|7A20|8E3|9E15|10E8|11N1|12E7
93,27541,timeout,285,60,-54.47,4,8,0.0500,0,0.154276,78,88,165,60,60,6,45,11,60,"NA:N,SA:N",0E7|1A18|2A20|3E9|4E20|5A20|6E20|7A20|8E20|9E6|10E3|11N1|12E3
94,27823,timeout,282,60,-43.38,4,6,0.0500,0,0.139663,56,76,162,60,60,1,50,4,47,"NA:N,SA:N",0A16|1A20|2N1|3E18|4A19|5A1|6E20|7N1|8E10|9E9|10E9|11N1|12E10
95,28113,timeout,290,60,-61.29,4,8,0.0500,0,0.155802,78,77,170,60,60,3,48,8,50,"NA:N,SA:N",0E3|1E8|2A20|3E20|4A18|5A20|6E17|7A20|8E20|9E5|10E2|11N1|12E2
96,28403,timeout,290,60,-28.15,7,5,0.0500,0,0.149254,77,68,170,60,60,0,52,2,54,"NA:N,SA:N",0A20|1A17|2A1|3A16|4A1|5A2|6E19|7A20|8E17|9E11|10E11|11N1|12E10
97,28675,timeout,272,60,-44.23,2,6,0.0500,0,0.146817,38,77,152,60,60,0,57,2,40,"NA:N,SA:N",0A18|1A20|2N1|3E19|4N1|5N1|6E14|7N1|8E11|9E11|10E11|11N1|12E11
98,28971,timeout,296,60,-62.97,4,8,0.0500,0,0.144730,77,92,176,60,60,3,47,8,58,"NA:N,SA:N",0E1|1E7|2A20|3E20|4A17|5A20|6E19|7A20|8E19|9E9|10E9|11N1|12E8
